eigenvalue,index
2.0329747848757815,0
1.8496814037839158,1
1.6822007275456579,2
1.2052213774162412,3
1.1310494281106085,4
0.7875262810549427,5
0.7843341645337805,6
0.7792762585942827,7
0.6838510754039203,8
0.6647633401104479,9
0.5700825898518185,10
0.49938340141463305,11
0.4738535267608059,12
0.42729385591708186,13
0.41243655895504433,14
0.4113033349915953,15
0.3790692535792129,16
0.3287668839444369,17
0.28848279347398026,18
0.28846278640175815,19
0.2753568488072279,20
0.2492593185803809,21
0.21888674509223194,22
0.21530650733596599,23
0.20273534748088676,24
0.20137990978367062,25
0.1961035917475967,26
0.16853279403077484,27
0.12174418476631974,28
0.07808023261002157,29
