eigenvalue,index
5.197785303863639,0
2.6614994892049717,1
2.573695512047164,2
1.5993548785719627,3
1.4462613672910425,4
1.434411355539601,5
1.4262535708027777,6
1.27840016162928,7
1.2046987982177257,8
1.1982323574118603,9
1.0527987522644333,10
1.0472500706885526,11
0.9736493210819726,12
0.9672794167112374,13
0.8413423269035302,14
0.8392178548435746,15
0.771802271768816,16
0.7506472504602951,17
0.7486905874805333,18
0.728252506271515,19
0.7216464374077258,20
0.6994147185917271,21
0.6572131936971095,22
0.6299063755988856,23
0.6190677704541602,24
0.604914439011728,25
0.5687608975916759,26
0.5658877670671394,27
0.5361996270501027,28
0.49977669419116133,29
0.49310551091322635,30
0.4677583489797661,31
0.4662897223048173,32
0.45392138865830367,33
0.452397433136597,34
0.42348764112142234,35
0.42091103017376597,36
0.3999831418611138,37
0.3895547472916431,38
0.38892230882761647,39
0.38007557334097664,40
0.3746243407101112,41
0.31491490323844645,42
0.31253275173825246,43
0.3080947503125892,44
0.30125488676722223,45
0.2978541222887444,46
0.28537590885777725,47
0.28347984893403144,48
0.28074069225817866,49
0.27590253917408536,50
0.2523954401960843,51
0.24216760243107294,52
0.2373675190621947,53
0.2195645257604908,54
0.21952064981578553,55
0.2010395810680481,56
0.19099633921652318,57
0.18924910089253566,58
0.1760825436226203,59
0.17527479532605292,60
0.16888630778037858,61
0.16738591745467638,62
0.16595525804571687,63
0.16545784074174857,64
0.158883639018716,65
0.15273766448037507,66
0.14443327732527156,67
0.1394203484229722,68
0.13909316860456497,69
0.13517135686484974,70
0.12126795461670253,71
0.11429547844373154,72
0.11258335906047016,73
0.09051525397647579,74
0.08581848493398543,75
0.08157009046879947,76
0.060530639220878125,77
0.0333981492630318,78
0.03318744706362409,79
