dimension,error
2,1.6042741386830257
3,1.2646560317224453
4,1.2026060731973054
5,1.1976691344188515
6,1.1942585862378288
7,1.1306635934836144
8,1.0975877177782767
9,1.0946380029086604
10,1.0260598190478143
11,1.0233523687804473
12,0.9867367030175641
13,0.9835036434661731
14,0.9172471460318261
15,0.916088344453511
16,0.8785227781730056
17,0.8663990134229697
18,0.8652690838580408
19,0.8533771184368111
20,0.8494977559756858
21,0.836310180849024
22,0.8106868653784329
23,0.7936664132989916
24,0.7868085983605925
25,0.7777624566740979
26,0.7541623814482369
27,0.752255120997617
28,0.7322565309030045
29,0.7069488625007904
30,0.7022147185250579
31,0.6839286139501447
32,0.6828541003060736
33,0.6737368838488091
34,0.6726049606839047
35,0.6507592804727584
36,0.6487765641372737
37,0.6324422043642516
38,0.6241432105628028
39,0.6236363594496528
40,0.6165026953233673
41,0.6120656343155619
42,0.561172792674811
43,0.5590462876526884
44,0.5550628345625288
45,0.5488669117074031
46,0.545760132557101
47,0.5342058674872238
48,0.5324282570769807
49,0.5298496883628211
50,0.5252642565167417
51,0.5023897293895291
52,0.49210527576025126
53,0.48720377570601264
54,0.4685771289344912
55,0.46853030832144205
56,0.4483743760163465
57,0.43703127944864906
58,0.4350277012933035
59,0.4196219055562046
60,0.4186583276683421
61,0.4109577931860869
62,0.40912824084225274
63,0.40737606464508547
64,0.40676509282600515
65,0.3986021061393379
66,0.3908166635142047
67,0.38004378343195083
68,0.3733903432374386
69,0.3729519655459198
70,0.3676565746248117
71,0.3482354873023462
72,0.3380761429674261
73,0.3355344379649728
74,0.300857531028352
75,0.29294792188029845
76,0.28560478019248814
77,0.2460297527147441
78,0.1827516053637609
79,0.1821742217319017
80,0.0
