eigenvalue,index
2.6691147116413476,0
1.997451488516344,1
1.879149918749111,2
1.2999325408110214,3
1.2336980508644637,4
1.1675045175293446,5
0.8952060273446247,6
0.8339623588409494,7
0.8314357313589392,8
0.7314654120339928,9
0.729047041700538,10
0.6620012604586798,11
0.5926321972736633,12
0.5766824909077229,13
0.5472872523209977,14
0.5151056527154962,15
0.4714788484876097,16
0.4267487889087483,17
0.42501146890590547,18
0.406344097186952,19
0.4002426985534057,20
0.37773094079554,21
0.3423988837349636,22
0.3245596903562601,23
0.3122744978232551,24
0.2812991762823351,25
0.25288027224254034,26
0.25202786508225405,27
0.23176847437553555,28
0.22480018619029699,29
0.22128486253186863,30
0.19294748056211442,31
0.1912416133815784,32
0.18082515180889583,33
0.17582858029872905,34
0.16576510399827288,35
0.16197410767321513,36
0.1371458090477586,37
0.07599645480590594,38
0.0714244216300062,39
