dimension,error
2,4.33579403657202
3,4.113387899144011
4,3.9522180440878207
5,3.792931507046877
6,3.6357701934555147
7,3.510501228069138
8,3.3896395845921403
9,3.264693060928552
10,3.1506753831585135
11,3.032772383206578
12,2.9215932413465477
13,2.8183461232801346
14,2.7141098687600027
15,2.611341633601288
16,2.510776667619792
17,2.415061205472097
18,2.3250315776925676
19,2.2317617185447203
20,2.138788505480318
21,2.0430794337522284
22,1.9484462096310962
23,1.858505783711964
24,1.7690347813806722
25,1.6784545152941461
26,1.5924542014227512
27,1.5109699240509162
28,1.4251323609771052
29,1.3413551997620325
30,1.2547643546651879
31,1.163249209415797
32,1.077126381927563
33,0.9843574702631069
34,0.8877693830347427
35,0.7824997745400051
36,0.6682370785558714
37,0.5334479219977061
38,0.3839542634688566
39,0.26725347823743323
40,0.0
