dimension,error
2,4.8914360555825525
3,4.67627231393188
4,4.5272662790340705
5,4.380335502771484
6,4.2379097088572495
7,4.095304652953845
8,3.9682184065279027
9,3.8578581847956213
10,3.7447959900998726
11,3.641776857348827
12,3.5375108625992953
13,3.4325605880095167
14,3.3318893818524358
15,3.2291710836594967
16,3.1355144579319982
17,3.0457265408745857
18,2.9563206228513437
19,2.8668335058539234
20,2.7749730724845834
21,2.6814750547080894
22,2.597611586366989
23,2.5125216816063056
24,2.427849476489766
25,2.3429027730721312
26,2.2551959649591016
27,2.1708650897911004
28,2.0867615406025157
29,2.003935067125099
30,1.9200641966775136
31,1.842447131093777
32,1.7623291674613406
33,1.68672166495353
34,1.6122626767447252
35,1.5384631210707231
36,1.4647701022102444
37,1.388363322559397
38,1.30915997588837
39,1.2272362581351477
40,1.1467584845048109
41,1.0656086439491528
42,0.9786793295639222
43,0.8925571098004963
44,0.8000327776752811
45,0.6989475924797792
46,0.5846772830424343
47,0.462480415109011
48,0.3620483008003515
49,0.2470174268511408
50,0.0
