dimension,error
2,7.023312807475237
3,6.820127353582776
4,6.665863407255854
5,6.518493159356935
6,6.402831065315766
7,6.287348891912782
8,6.172295209073425
9,6.067990873830278
10,5.964062448212796
11,5.868666397230438
12,5.772833974067066
13,5.6761154368194955
14,5.5787653319355694
15,5.488167670205595
16,5.400403880947257
17,5.314304705088306
18,5.231125984061997
19,5.146685295141674
20,5.062328654187667
21,4.976935271344404
22,4.895407406098031
23,4.813415005453321
24,4.733240860782696
25,4.653307661604039
26,4.575561730064496
27,4.5029750024062905
28,4.4323894119216405
29,4.361444189817195
30,4.290386483134818
31,4.219154734961556
32,4.151053855649156
33,4.0823556141023705
34,4.015480935491142
35,3.947891558798994
36,3.882631169317863
37,3.8166015900684127
38,3.7516269167350327
39,3.6874355523833113
40,3.6222339335025477
41,3.5604618085177644
42,3.498027632075933
43,3.4357582089479486
44,3.3734201350882853
45,3.310701338926455
46,3.2502154765569427
47,3.188707072903548
48,3.1278860637942816
49,3.069183433886243
50,3.0122003409675737
51,2.9569633520299465
52,2.9030091229940704
53,2.8489548482602007
54,2.794853427923473
55,2.740621412136253
56,2.6853379973566542
57,2.6301011567421986
58,2.5736897354423625
59,2.5175868503004804
60,2.4605743166760465
61,2.403127390550775
62,2.344960028018774
63,2.2906372680905154
64,2.2354376602571864
65,2.1821715771316916
66,2.1281065113296984
67,2.0764096191994432
68,2.026746580659381
69,1.977187109871358
70,1.9266753757558275
71,1.8794627475913654
72,1.8314026718953034
73,1.7828993494738476
74,1.733404214700344
75,1.6837173658446074
76,1.632706341437342
77,1.5807310418749174
78,1.52712233015591
79,1.474440352594442
80,1.4208587838088396
81,1.366340140496738
82,1.3123018845444732
83,1.2565682635471762
84,1.2010524468577766
85,1.143498819997044
86,1.0859292951811157
87,1.0262309162454597
88,0.9635801604728247
89,0.8980784897436167
90,0.8284729191340806
91,0.7647173103588202
92,0.6953063981325038
93,0.6222846710202705
94,0.5433676523709143
95,0.4667115027060556
96,0.39044326170277405
97,0.3199464763968549
98,0.2449199201610913
99,0.16994750765542338
100,0.0
