epoch,train_loss,validation_loss
90,0.0827816922,0.0975812720
91,0.0827225097,0.0975144636
92,0.0826635645,0.0974479187
93,0.0826048548,0.0973816354
94,0.0825463790,0.0973156118
95,0.0824881353,0.0972498462
96,0.0824301223,0.0971843367
97,0.0823723381,0.0971190815
98,0.0823147812,0.0970540789
99,0.0822574500,0.0969893270
100,0.0822003428,0.0969248242
101,0.0821434582,0.0968605687
102,0.0820867944,0.0967965587
103,0.0820303501,0.0967327927
104,0.0819741236,0.0966692689
105,0.0819181134,0.0966059856
106,0.0818623180,0.0965429411
107,0.0818067360,0.0964801340
108,0.0817513658,0.0964175624
109,0.0816962060,0.0963552249
110,0.0816412551,0.0962931198
111,0.0815865118,0.0962312455
112,0.0815319745,0.0961696005
113,0.0814776418,0.0961081832
114,0.0814235125,0.0960469921
115,0.0813695850,0.0959860256
116,0.0813158581,0.0959252823
117,0.0812623303,0.0958647606
118,0.0812090003,0.0958044591
119,0.0811558668,0.0957443763
120,0.0811029284,0.0956845106
121,0.0810501839,0.0956248608
122,0.0809976320,0.0955654254
123,0.0809452713,0.0955062028
124,0.0808931007,0.0954471918
125,0.0808411188,0.0953883909
126,0.0807893243,0.0953297987
127,0.0807377161,0.0952714139
128,0.0806862930,0.0952132352
129,0.0806350537,0.0951552610
130,0.0805839969,0.0950974902
131,0.0805331216,0.0950399215
132,0.0804824265,0.0949825534
133,0.0804319105,0.0949253846
134,0.0803815724,0.0948684140
135,0.0803314110,0.0948116402
136,0.0802814253,0.0947550620
137,0.0802316140,0.0946986780
138,0.0801819761,0.0946424871
139,0.0801325105,0.0945864880
140,0.0800832160,0.0945306795
141,0.0800340916,0.0944750604
142,0.0799851362,0.0944196294
143,0.0799363487,0.0943643854
144,0.0798877280,0.0943093272
145,0.0798392732,0.0942544537
146,0.0797909831,0.0941997635
147,0.0797428568,0.0941452557
148,0.0796948932,0.0940909290
149,0.0796470913,0.0940367823
150,0.0795994501,0.0939828146
151,0.0795519686,0.0939290246
152,0.0795046458,0.0938754113
153,0.0794574808,0.0938219735
154,0.0794104725,0.0937687103
155,0.0793636201,0.0937156205
156,0.0793169225,0.0936627030
157,0.0792703788,0.0936099568
158,0.0792239881,0.0935573808
159,0.0791777495,0.0935049740
160,0.0791316620,0.0934527354
161,0.0790857247,0.0934006639
162,0.0790399368,0.0933487585
163,0.0789942973,0.0932970182
164,0.0789488053,0.0932454420
165,0.0789034600,0.0931940290
166,0.0788582605,0.0931427780
167,0.0788132059,0.0930916882
168,0.0787682954,0.0930407586
169,0.0787235281,0.0929899883
170,0.0786789032,0.0929393762
171,0.0786344198,0.0928889214
172,0.0785900772,0.0928386230
173,0.0785458744,0.0927884801
174,0.0785018108,0.0927384918
175,0.0784578855,0.0926886570
176,0.0784140976,0.0926389751
177,0.0783704464,0.0925894449
178,0.0783269312,0.0925400657
179,0.0782835511,0.0924908365
180,0.0782403053,0.0924417565
181,0.0781971932,0.0923928248
182,0.0781542138,0.0923440406
183,0.0781113666,0.0922954029
184,0.0780686507,0.0922469110
185,0.0780260655,0.0921985640
186,0.0779836101,0.0921503611
187,0.0779412838,0.0921023014
188,0.0778990860,0.0920543841
189,0.0778570159,0.0920066084
190,0.0778150728,0.0919589735
191,0.0777732560,0.0919114786
192,0.0777315648,0.0918641229
193,0.0776899985,0.0918169056
194,0.0776485565,0.0917698259
195,0.0776072380,0.0917228831
196,0.0775660424,0.0916760763
197,0.0775249691,0.0916294049
198,0.0774840172,0.0915828680
199,0.0774431863,0.0915364649
200,0.0774024757,0.0914901949
201,0.0773618846,0.0914440571
202,0.0773214125,0.0913980510
203,0.0772810588,0.0913521757
204,0.0772408227,0.0913064305
205,0.0772007038,0.0912608148
206,0.0771607013,0.0912153277
207,0.0771208146,0.0911699686
208,0.0770810432,0.0911247369
209,0.0770413865,0.0910796317
