dimension,error
2,5.83631625065056
3,5.624438866978636
4,5.491435215468821
5,5.358190391873186
6,5.225296835211864
7,5.100924271694662
8,4.980441079452079
9,4.861964568501958
10,4.748478731290404
11,4.648509682222112
12,4.548123296100106
13,4.4457220532893995
14,4.352476315162899
15,4.257620701912926
16,4.170938940479236
17,4.082991816545854
18,3.9959484802667182
19,3.9074192035805098
20,3.8173900682428705
21,3.7271511946468663
22,3.649583797798008
23,3.5713987077854745
24,3.493489374618259
25,3.415514476860702
26,3.3396310385036583
27,3.262585421282048
28,3.1883680522824362
29,3.112903150371078
30,3.0373411787570657
31,2.9604691741167923
32,2.886335985678786
33,2.812577989886429
34,2.7373739320704047
35,2.661300481063607
36,2.5836618400792406
37,2.5104527012439837
38,2.435536404564101
39,2.3710226021491265
40,2.3050805342288534
41,2.240714992805948
42,2.1754277075598862
43,2.108447109363982
44,2.0409169863360432
45,1.9716334140009795
46,1.9091982802789902
47,1.848905174139727
48,1.787375090581959
49,1.7242352521066222
50,1.659631707374373
51,1.5966620704539332
52,1.5313201754570596
53,1.4672077324363397
54,1.4016548836013971
55,1.3378620450358436
56,1.2716180139069373
57,1.2031158676792382
58,1.1354225672802116
59,1.06508502827273
60,0.992755303393236
61,0.915090712824577
62,0.8346404496134094
63,0.7566355224208956
64,0.6715821977638599
65,0.5744221273025376
66,0.49113162062196725
67,0.3914499234432408
68,0.28304210750685166
69,0.18668434544336474
70,0.0
