dimension,error
2,5.386098563239363
3,5.171197258128063
4,5.032432533921744
5,4.890555276156093
6,4.75773188113416
7,4.624631164969109
8,4.496396356791757
9,4.378326263116808
10,4.275364715911874
11,4.171185646242602
12,4.0681730946964505
13,3.9696798053849522
14,3.8692435550930524
15,3.776520409602819
16,3.6822548491910423
17,3.588039108371154
18,3.498792565989035
19,3.40797602815651
20,3.3236021499785156
21,3.238939190929596
22,3.156355893394508
23,3.0716825627386566
24,2.990975660267044
25,2.9109041454271605
26,2.8296821433196113
27,2.7469326246168424
28,2.6653310297677426
29,2.586122473868358
30,2.5049656121357917
31,2.4261405961047404
32,2.3463392500630014
33,2.2713286597919593
34,2.195385752157379
35,2.1228023969803758
36,2.0489641556445846
37,1.9788437030253936
38,1.9094187746116462
39,1.8408026665009243
40,1.773825934467306
41,1.7047150473777388
42,1.6381366426607236
43,1.5691998046125628
44,1.4990291725952696
45,1.4257348065234143
46,1.3532688092702552
47,1.2858286131192824
48,1.215174791994707
49,1.142610776499363
50,1.0655312473514174
51,0.9832949047410549
52,0.8998920495644643
53,0.8146380678071938
54,0.7269820671825586
55,0.6280705379172998
56,0.5226477957890183
57,0.42742585953371776
58,0.322357627785686
59,0.21721274123261095
60,0.0
