eigenvalue,index
3.9112391654345298,0
2.3123736234885386,1
2.2687766504579288,2
1.4159038739971714,3
1.4078462993358354,4
1.2815182563778036,5
1.2487992407568445,6
1.1696332146333568,7
1.0478393310717944,8
0.8909974122341665,9
0.8799537586439059,10
0.8487573670082206,11
0.7916745711309834,12
0.7873120686519888,13
0.7089392844824773,14
0.7031056297556988,15
0.6849761311900776,16
0.6324752233807327,17
0.6272488113307125,18
0.5679693571476117,19
0.5556041688021445,20
0.528144556773422,21
0.5273487595335236,22
0.4892983659228411,23
0.47257245644485146,24
0.4662619116431594,25
0.4614621880374975,26
0.44164934594159855,27
0.4159600483957801,28
0.4131767318641523,29
0.3886945259153783,30
0.3808503156812561,31
0.34637399559386955,32
0.33921528001671736,33
0.313428584149992,34
0.3080359055093031,35
0.2824317101130729,36
0.2699423441638117,37
0.257325599842528,38
0.24209601120810154,39
0.24040505303272505,40
0.22256173272833932,41
0.22110363323164178,42
0.21529956650444737,43
0.21436872175930077,44
0.20138326838862322,45
0.17798124782747682,46
0.17670544721687828,47
0.17109038852690203,48
0.17020254749020977,49
0.1684879693925475,50
0.1570631688203878,51
0.14617051934869416,52
0.13513225551561192,53
0.13403032540529994,54
0.121311882156607,55
0.09046785304498191,56
0.07877842520652255,57
0.056733065237829665,58
0.04718137495378521,59
